Name,Category,Muscle,Instructions
Ab Wheel,Weighted Bodyweight,Core,
Aerobics,Duration,Cardio,
Arnold Press (Dumbbell),Dumbbell,Shoulders,
Around The World,Dumbbell,Chest,
Back Extension,Weighted Bodyweight,Back,
Back Squat (Barbell),Barbell,Legs,
Backwards Sled (Cable),Other,Legs,
Ball Slams,Other,Full Body,
Battle Ropes,Other,Cardio,
Bench Dip,Weighted Bodyweight,Arms,
Bench Press - Close Grip (Barbell),Barbell,Chest,
Bench Press - Wide Grip (Barbell),Barbell,Chest,
Bench Press (Barbell),Barbell,Chest,
Bench Press (Cable),Other,Chest,
Bench Press (Smith Machine),Other,Chest,
Bent Over One Arm Row (Dumbbell),Dumbbell,Back,
Bent Over Row - Underhand (Barbell),Barbell,Back,
Bent Over Row (Band),Other,Back,
Bent Over Row (Barbell),Barbell,Back,
Bent Over Row (Dumbbell),Dumbbell,Back,
Bicep Curl (Band),Other,Arms,
Bicep Curl (Barbell),Barbell,Arms,
Bicep Curl (Cable),Other,Arms,
Bicep Curl (Dumbbell),Dumbbell,Arms,
Bicep Curl (Machine),Machine,Arms,
Bicycle Crunch,Weighted Bodyweight,Core,
Box Jump,Other,Legs,
Box Squat (Barbell),Barbell,Legs,
Bulgarian Split Squat,Other,Legs,
Bulgarian Split Squat (Barbell),Barbell,Legs,
Burpee,Other,Full Body,
Cable Crossover,Other,Chest,
Cable Crunch,Other,Core,
Cable Kickback,Other,Legs,
Cable Pull Through,Other,Legs,
Cable Twist,Other,Core,
Calf Press On Leg Press,Machine,Legs,
Calf Press On Seated Leg Press,Machine,Legs,
Chest Dip,Weighted Bodyweight,Chest,
Chest Dip (Assisted),Assisted Bodyweight,Chest,
Chest Fly,Dumbbell,Chest,
Chest Fly (Band),Other,Chest,
Chest Fly (Dumbbell),Dumbbell,Chest,
Chest Press (Band),Other,Chest,
Chest Press (Machine),Machine,Chest,
Chin Up,Weighted Bodyweight,Back,
Chin Up (Assisted),Assisted Bodyweight,Back,
Clean (Barbell),Barbell,Olympic,
Clean And Jerk (Barbell),Barbell,Olympic,
Concentration Curl (Dumbbell),Dumbbell,Arms,
Cross Body Crunch,Weighted Bodyweight,Core,
Crunch,Weighted Bodyweight,Core,
Crunch (Machine),Machine,Core,
Crunch (Stability Ball),Other,Core,
Cycling,Cardio,Cardio,
Cycling (Indoor),Cardio,Cardio,
Dead Hang,Duration,Back,
Deadlift (Band),Other,Legs,
Deadlift (Barbell),Barbell,Back,
Deadlift (Smith Machine),Other,Legs,
Deadlift High Pull (Barbell),Barbell,Olympic,
Decline Bench Press (Barbell),Barbell,Chest,
Decline Bench Press (Dumbbell),Dumbbell,Chest,
Decline Bench Press (Smith Machine),Other,Chest,
Decline Chest Press (Machine),Machine,Chest,
Decline Crunch,Weighted Bodyweight,Core,
Decline Plank,Weighted Bodyweight,Core,
Deficit Deadlift (Barbell),Barbell,Legs,
Elliptical Machine,Machine,Cardio,
Face Pull (Cable),Other,Shoulders,
Farmer's Walk,Other,Full Body,
Flat Knee Raise,Weighted Bodyweight,Core,
Flat Leg Raise,Weighted Bodyweight,Core,
Floor Press (Barbell),Barbell,Chest,
French Press (Dumbbell),Dumbbell,Arms,
Front Raise (Band),Other,Shoulders,
Front Raise (Barbell),Barbell,Shoulders,
Front Raise (Cable),Other,Shoulders,
Front Raise (Dumbbell),Dumbbell,Shoulders,
Front Raise (Plate),Other,Shoulders,
Front Squat (Barbell),Barbell,Legs,
Glute Ham Raise,Weighted Bodyweight,Legs,
Glute Kickback (Machine),Machine,Legs,
Goblet Squat (Kettlebell),Other,Legs,
Good Morning (Barbell),Barbell,Back,
Hack Squat,Machine,Legs,
Hack Squat (Barbell),Barbell,Legs,
Hammer Curl (Band),Other,Arms,
Hammer Curl (Cable),Other,Arms,
Hammer Curl (Dumbbell),Dumbbell,Arms,
Handstand Push Up,Weighted Bodyweight,Shoulders,
Hang Clean (Barbell),Barbell,Olympic,
Hang Snatch (Barbell),Barbell,Olympic,
Hanging Knee Raise,Weighted Bodyweight,Core,
Hanging Leg Raise,Weighted Bodyweight,Core,
High Knee Skips,Weighted Bodyweight,Legs,
Hip Abductor (Machine),Machine,Legs,
Hip Adductor (Machine),Machine,Legs,
Hip Thrust (Barbell),Barbell,Legs,
Hip Thrust (Bodyweight),Weighted Bodyweight,Legs,
Hip Thrust (Machine),Machine,Legs,
Incline Bench Press (Barbell),Barbell,Chest,
Incline Bench Press (Barbell),Barbell,Chest,
Incline Bench Press (Cable),Other,Chest,
Incline Bench Press (Dumbbell),Dumbbell,Chest,
Incline Bench Press (Smith Machine),Other,Chest,
Incline Chest Fly (Dumbbell),Dumbbell,Chest,
Incline Chest Press (Machine),Machine,Chest,
Incline Curl (Dumbbell),Dumbbell,Arms,
Incline Row (Dumbbell),Dumbbell,Back,
Inverted Row (Bodyweight),Weighted Bodyweight,Back,
Iso-Lateral Chest Press (Machine),Machine,Chest,
Iso-Lateral Row (Machine),Machine,Back,
